Port_Label,Index_Value
"Albania, Durres",30.7
"Algeria, Algiers",133.26
"Algeria, Annaba",57.1
"Algeria, Bejaia",49.39
"Algeria, Ghazaouet",21.09
"Algeria, Mostaganem",11.79
"Algeria, Oran",57.17
"Algeria, Skikda",43.96
"American Samoa, Pago Pago",58.58
"Angola, Cabinda",7.63
"Angola, Lobito",42.3
"Angola, Luanda",119.19
"Angola, Malongo",8.6
"Angola, Namibe",20.06
"Angola, Soyo",26.51
"Anguilla, Anguilla",21.66
"Antigua and Barbuda, St John's (AG)",31.71
"Argentina, Bahia Blanca",50.18
"Argentina, Buenos Aires",199.29
"Argentina, Puerto Madryn",42.63
"Argentina, Rosario",35.83
"Argentina, Ushuaia",12.25
"Argentina, Zarate",33.29
"Aruba, Barcadera",24.6
"Aruba, Oranjestad",60.84
"Australia, Adelaide",124.31
"Australia, Bell Bay",13.64
"Australia, Brisbane",263.04
"Australia, Burnie",18.88
"Australia, Cairns",6.59
"Australia, Dampier",7.28
"Australia, Darwin",36.72
"Australia, Devonport",16.53
"Australia, Fremantle",128.36
"Australia, Geelong",7.82
"Australia, Melbourne",294.15
"Australia, Newcastle",22.82
"Australia, Port Botany",13.64
"Australia, Port Hedland",12.78
"Australia, Port Kembla",10.04
"Australia, Sydney",252.22
"Australia, Townsville",60.19
"Australia, Weipa",6.59
"Bahamas, Freeport (BS)",189.9
"Bahamas, Nassau",36.48
"Bahrain, Bahrain",103.37
"Bangladesh, Chittagong",194.21
"Bangladesh, Mongla",19.63
"Barbados, Bridgetown",73.58
"Belgium, Antwerp",941.73
"Belgium, Ghent",11.25
"Belgium, Zeebrugge",171.38
"Belize, Belize City",25.83
"Belize, Big Creek",20.62
"Benin, Cotonou",155.69
"Bermuda, Hamilton (BM)",20.03
"Bonaire, Sint Eustatius and Saba, Kralendijk",18.69
"Brazil, Fortaleza",30.18
"Brazil, Imbituba",29.64
"Brazil, Itajai",126.21
"Brazil, Itapoa",160.28
"Brazil, Macapa",43.16
"Brazil, Manaus",76.53
"Brazil, Natal",22.99
"Brazil, Navegantes",158.48
"Brazil, Paranagua",206.43
"Brazil, Pecem",79.46
"Brazil, Rio de Janeiro",172.33
"Brazil, Rio Grande",178.74
"Brazil, Salvador",151.35
"Brazil, Santos",278.02
"Brazil, Sao Luis",14.09
"Brazil, Sepetiba",114.38
"Brazil, Suape",121
"Brazil, Vila do Conde",64.71
"Brazil, Vitoria",43.18
"British Virgin Islands, Tortola",29.74
"British Virgin Islands, Virgin Gorda",21.66
"Brunei Darussalam, Muara",44.2
"Bulgaria, Bourgas",43.95
"Bulgaria, Varna",28.02
"Cabo Verde, Mindelo",24.3
"Cabo Verde, Palmeira",9.05
"Cabo Verde, Porto Praia",24.3
"Cabo Verde, Sal Rei",17.23
"Cambodia, Sihanoukville",101.14
"Cameroon, Douala",108.07
"Cameroon, Kribi",80.37
"Canada, Argentia",11.32
"Canada, Corner Brook",22.56
"Canada, Halifax",189.73
"Canada, Montreal",96.62
"Canada, New Westminster",13.54
"Canada, Prince Rupert",96.1
"Canada, Saint John",43.74
"Canada, Squamish",10.95
