Port,Weighted Degree,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,HITS Hub Score,HITS Authority Score
"Algeria, Algiers",867.9489898681641,0.006939636697679675,0.0,0.0024016337815023357,0.00033818174314032863,0.0003381817431403314
"Algeria, Annaba",695.6739959716797,0.00581650754918061,0.0,0.002320009123760212,0.0002834493919873338,0.0002834493919873337
"Algeria, Bejaia",692.5899963378906,0.005790934398233337,0.0,0.002324161878467876,0.00028220316443985097,0.0002822031644398507
"Algeria, Ghazaouet",681.2699890136719,0.005697066570728299,0.0,0.0023395329151981808,0.0002776288093788238,0.000277628809378824
"Algeria, Mostaganem",677.5500183105469,0.005666219809036045,0.0,0.002344628612938853,0.0002761255889015449,0.0002761255889015448
"Algeria, Oran",695.7019958496094,0.005816739737840921,0.0,0.0023199715364711545,0.0002834607069757015,0.0002834607069757014
"Algeria, Skikda",690.4179992675781,0.00577292375208284,0.0,0.00232709547734031,0.0002813254719166435,0.00028132547191664337
"American Samoa, Pago Pago",696.2660064697266,0.005821416615851959,0.0,0.002319213686357253,0.00028368862000154656,0.00028368862000154716
"Angola, Cabinda",1735.605484008789,0.012109720823281765,0.0004940723487420626,0.003071868320634673,0.0005901294018220612,0.0005901294018220612
"Angola, Lobito",1924.3614807128906,0.013054747726965334,0.0,0.0030490496873924956,0.0006361823998935076,0.0006361823998935075
"Angola, Luanda",2178.746536254883,0.014346560599094095,0.0,0.0029964506839776917,0.0006991348958595093,0.0006991348958595092
"Angola, Malongo",1736.8665161132812,0.012117975846907767,0.0,0.0030706053628674385,0.0005905316843808811,0.0005905316843808808
"Angola, Namibe",1751.7644805908203,0.012215501463542156,0.0,0.003055764562165099,0.0005952842879331938,0.0005952842879331941
"Angola, Soyo",1901.4659729003906,0.01290965883038591,0.0,0.0030695059177231316,0.0006291119483097467,0.0006291119483097465
"Antigua and Barbuda, St John's (AG)",685.5179901123047,0.005732291861076911,0.0,0.002333740883283653,0.00027934540375905236,0.0002793454037590523
"Argentina, Bahia Blanca",2169.8475341796875,0.014516891576821962,0.0,0.002934565073244547,0.000707434924020223,0.0007074349240202229
"Argentina, Buenos Aires",2721.2835083007812,0.017288570178961824,0.0,0.0028137213471774096,0.0008425040208317763,0.0008425040208317762
"Argentina, Puerto Madryn",2157.3899688720703,0.014438872912896925,0.0,0.0029443394924740327,0.0007036329325243413,0.0007036329325243412
"Argentina, Rosario",2146.1700439453125,0.014368605341491916,0.0,0.0029531988209545055,0.0007002086658748381,0.000700208665874838
"Argentina, Ushuaia",1968.0854949951172,0.013495348941763624,0.0,0.0029639845336747518,0.0006576531868089305,0.0006576531868089306
"Argentina, Zarate",2141.97900390625,0.014342357857296992,0.0,0.002956521729191358,0.000698929578196603,0.0006989295781966028
"Aruba, Barcadera",682.6739959716797,0.005708708877093644,0.0,0.0023376153800875555,0.0002781961607755371,0.0002781961607755373
"Aruba, Oranjestad",697.1700134277344,0.005828912841342627,0.0,0.0023180000750748393,0.00028405392511115314,0.000284053925111153
"Australia, Adelaide",3503.1705322265625,0.021439275969464086,0.0,0.002907304016281769,0.0010447761092419738,0.0010447761092419738
"Australia, Bell Bay",2920.448516845703,0.018857027763612182,0.0,0.0029560997912904145,0.0009189383762447436,0.0009189383762447436
"Australia, Brisbane",4480.216537475586,0.025190182522119024,0.0,0.0029921408626354287,0.0012275634218569672,0.0012275634218569672
"Australia, Burnie",2933.0245208740234,0.01893169473463837,0.0,0.0029490361634376015,0.000922577036699891,0.000922577036699891
"Australia, Cairns",2903.528518676758,0.018756569386933618,2.798932024893458e-05,0.0029656568233230704,0.0009140428525936887,0.0009140428525936886
"Australia, Dampier",2905.184524536133,0.018766401516960084,0.0,0.0029647187201600504,0.0009145219905877086,0.0009145219905877087
"Australia, Darwin",3119.552536010742,0.0196562802155536,0.0,0.0030038177083759232,0.0009578874315556515,0.0009578874315556513
"Australia, Devonport",2927.384521484375,0.018898208629649686,0.0,0.0029521998302153548,0.0009209451964853117,0.0009209451964853116
"Australia, Fremantle",3514.510543823242,0.021502118739434802,0.0,0.0029014732287904305,0.0010478385542314038,0.0010478385542314038
"Australia, Geelong",2906.480499267578,0.01877409607332703,0.0,0.0029639850184479083,0.0009148969606392782,0.0009148969606392779
"Australia, Melbourne",4587.545974731445,0.025726903677713617,0.0,0.002948799447569918,0.0012537187976451266,0.0012537187976451266
"Australia, Newcastle",3083.4125061035156,0.01944911414530436,0.0003383056969219049,0.003025176095760961,0.0009477918434907359,0.0009477918434907356
"Australia, Port Botany",2920.448516845703,0.018857027763612182,0.0,0.0029560997912904145,0.0009189383762447436,0.0009189383762447432
"Australia, Port Hedland",2918.384521484375,0.01884477332944393,0.0,0.0029572623000488577,0.0009183411948619064,0.0009183411948619064
"Australia, Port Kembla",2911.8085327148438,0.018805729962445054,0.0,0.00296097223545572,0.0009164385389273625,0.0009164385389273625
"Australia, Sydney",4442.887557983398,0.02500351181077272,0.0,0.003007560119365825,0.0012184666263364346,0.0012184666263364346
"Australia, Townsville",3323.634506225586,0.020444343358229932,0.0,0.003002916553660293,0.000996291193769305,0.000996291193769305
"Australia, Weipa",2903.528518676758,0.018756569386933618,2.798932024893458e-05,0.0029656568233230704,0.0009140428525936887,0.0009140428525936885
"Bahamas, Freeport (BS)",2702.9729766845703,0.01718018766890349,0.0,0.002824904444781422,0.0008372223424311427,0.0008372223424311426
"Bahamas, Nassau",2147.2425079345703,0.01437532186879295,0.0,0.002952349654727321,0.000700535974474959,0.0007005359744749591
"Bahrain, Bahrain",1686.9195098876953,0.011982600769801573,0.0,0.0026920200373979518,0.0005839354362267884,0.0005839354362267881
"Bangladesh, Chittagong",1176.311508178711,0.008988772257948332,2.4338539346899635e-06,0.0026426048565468337,0.0004380392878282666,0.00043803928782826685
"Bangladesh, Mongla",923.6574859619141,0.007285156051095678,0.0,0.002808138213095383,0.0003550187946384069,0.0003550187946384068
"Barbados, Bridgetown",702.2660064697266,0.0058711698491228665,0.0,0.0023111823623038546,0.000286113188253145,0.00028611318825314463
"Belgium, Antwerp",122632.35696411133,0.14513270645263526,0.11570054834729149,0.0035037509760171147,0.007072360614261849,0.007072360614261847
"Belgium, Ghent",4222.952499389648,0.02532574169837695,0.0,0.002800897704092499,0.0012341702304075504,0.0012341702304075504
"Belgium, Zeebrugge",6585.316024780273,0.031974067957105626,0.0,0.0027111477207884416,0.001558150547552457,0.0015581505475524573
"Belize, Belize City",683.1659851074219,0.005712788560050476,0.0,0.002336944250094455,0.00027839497136783394,0.0002783949713678341
"Belize, Big Creek",681.0820007324219,0.005695507733260094,0.0,0.002339789894246887,0.00027755284430909185,0.0002775528443090919
"Benin, Cotonou",2381.1015014648438,0.015274791632424494,0.0,0.002980147426697481,0.0007443693673555208,0.000744369367355521
"Bermuda, Hamilton (BM)",680.8459930419922,0.005693550701063535,0.0,0.0023401125472072514,0.0002774574744643456,0.000277457474464346
"Brazil, Fortaleza",3015.717010498047,0.018802267622089246,0.0,0.0030151268915344807,0.000916269980734186,0.0009162699807341861
