Port,Degree,Local Clustering Coefficient
"Singapore, Singapore",907,0.028821698294598547
"Republic of Korea, Busan",898,0.02845168130342915
"China, Shanghai",855,0.014999246750756673
"China, Ningbo",855,0.014999246750756673
"Malaysia, Port Klang",668,0.04741042652326531
"China, Hong Kong SAR, Hong Kong",646,0.023937408500731994
"China, Qingdao",641,0.02422971918876755
"China, Shekou",641,0.02422971918876755
"Netherlands (Kingdom of the), Rotterdam",633,0.051642770012198295
"Belgium, Antwerp",590,0.0587321228166096
"China, Taiwan Province of, Kaohsiung",580,0.028342564469060805
"China, Xiamen",522,0.03356351254954736
"China, Yantian",512,0.034605858610567516
"China, Nansha",426,0.045125655896161285
"Germany, Hamburg",401,0.09714463840399003
"China, Xingang",385,0.05219155844155844
"United Arab Emirates, Jebel Ali",286,0.1273708747392958
"China, Dalian",235,0.103873431533006
"Japan, Yokohama",220,0.17584059775840596
"Sri Lanka, Colombo",201,0.2263681592039801
"Malaysia, Tanjung Pelepas",182,0.24060469916823507
"Spain, Valencia",163,0.2779671286828751
"Viet Nam, Ho Chi Minh City",154,0.2756132756132756
"Japan, Tokyo",152,0.2586266991983269
"Republic of Korea, Kwangyang (Gwangyang)",147,0.3075202683813251
"France, Le Havre",121,0.4068870523415978
"Japan, Kobe",119,0.32673408346389404
"United States, New York/New Jersey",102,0.421277421859833
"Spain, Algeciras",99,0.49206349206349204
"Japan, Nagoya",99,0.3747680890538033
"Thailand, Laem Chabang",89,0.5891215526046987
"Germany, Bremerhaven",89,0.5748212461695608
"United States, Savannah",88,0.5002612330198537
"Morocco, Tanger Med",88,0.589864158829676
"Viet Nam, Haiphong",84,0.5304073436603557
"Spain, Barcelona",83,0.5774316779312372
"Republic of Korea, Incheon",78,0.6317016317016317
"Japan, Osaka",72,0.5062597809076682
"United Kingdom, London Gateway",62,0.7979904812268641
"China, Taiwan Province of, Taichung",60,0.6401129943502825
"China, Taiwan Province of, Keelung",59,0.6510812390414962
"United States, Norfolk",58,0.7477313974591652
"United States, Houston",58,0.7477313974591652
"India, Mundra",56,0.8032467532467532
"India, Nhava Sheva",55,0.8148148148148148
"Italy, Genoa",54,0.7945492662473794
"Greece, Piraeus",53,0.7808417997097242
"United States, Charleston",52,0.8009049773755657
"Saudi Arabia, Jeddah",51,0.8109803921568628
"China, Lianyungang",50,0.7314285714285714
"United Kingdom, Southampton",50,0.8693877551020408
"China, Taiwan Province of, Taipei",50,0.7314285714285714
"France, Fos",49,0.8460884353741497
"United States, Oakland",49,0.814625850340136
"United States, Los Angeles",47,0.8362627197039778
"United Kingdom, Felixstowe",47,0.8695652173913043
"United States, Long Beach",46,0.8473429951690822
"Egypt, Port Said",43,0.7840531561461794
"United Arab Emirates, Khalifa",41,0.8060975609756098
"United States, New Orleans",40,0.8346153846153846
"United States, Port Everglades",39,0.8259109311740891
"Malaysia, Pasir Gudang",39,0.815114709851552
"Republic of Korea, Ulsan",39,0.8218623481781376
"Italy, Gioia Tauro",37,0.8513513513513513
"United States, Miami",36,0.8412698412698413
"Viet Nam, Vung Tau",35,0.7915966386554621
"China, Qinzhou",34,0.8983957219251337
"United States, Baltimore",34,0.8253119429590018
"United States, Jacksonville",34,0.8253119429590018
"United States, Seattle",34,0.8253119429590018
"Japan, Moji",33,0.7803030303030303
"United Kingdom, Tilbury",33,0.8768939393939394
"China, Fuzhou",33,0.9034090909090909
