Community 0,Community 1,Community 2
"Belgium, Zeebrugge","Argentina, Buenos Aires","Algeria, Algiers"
"China, Caodeidian","Australia, Adelaide","Algeria, Annaba"
"China, Changshu","Australia, Brisbane","Algeria, Bejaia"
"China, Da chan Bay","Australia, Darwin","Algeria, Ghazaouet"
"China, Dafeng","Australia, Fremantle","Algeria, Mostaganem"
"China, Dalian","Australia, Melbourne","Algeria, Oran"
"China, Dandon","Australia, Newcastle","Algeria, Skikda"
"China, Dongguan","Australia, Sydney","American Samoa, Pago Pago"
"China, Fuqing","Australia, Townsville","Angola, Cabinda"
"China, Fuzhou","Bahamas, Freeport (BS)","Angola, Lobito"
"China, Haikou","Belgium, Antwerp","Angola, Luanda"
"China, Huangpu","Brazil, Fortaleza","Angola, Malongo"
"China, Huizhou","Brazil, Imbituba","Angola, Namibe"
"China, Humen","Brazil, Itajai","Angola, Soyo"
"China, Jiangyin","Brazil, Itapoa","Antigua and Barbuda, St John's (AG)"
"China, Jingtang","Brazil, Macapa","Argentina, Bahia Blanca"
"China, Jinzhou","Brazil, Manaus","Argentina, Puerto Madryn"
"China, Jiujiang","Brazil, Natal","Argentina, Rosario"
"China, Lianyungang","Brazil, Navegantes","Argentina, Ushuaia"
"China, Nanjing","Brazil, Paranagua","Argentina, Zarate"
"China, Nantong","Brazil, Pecem","Aruba, Barcadera"
"China, Qinzhou","Brazil, Rio de Janeiro","Aruba, Oranjestad"
"China, Quanzhou","Brazil, Rio Grande","Australia, Bell Bay"
"China, Rizhao","Brazil, Salvador","Australia, Burnie"
"China, Shantou","Brazil, Santos","Australia, Cairns"
"China, Shenzhen","Brazil, Sepetiba","Australia, Dampier"
"China, Shidao","Brazil, Suape","Australia, Devonport"
"China, Taicang","Brazil, Vila do Conde","Australia, Geelong"
"China, Taiwan Province of, Keelung","Brazil, Vitoria","Australia, Port Botany"
"China, Taiwan Province of, Taichung","Canada, Halifax","Australia, Port Hedland"
"China, Taiwan Province of, Taipei","Canada, Montreal","Australia, Port Kembla"
"China, Tangshan","Canada, Prince Rupert","Australia, Weipa"
"China, Weifang","Canada, Vancouver (CA)","Bahamas, Nassau"
"China, Weihai","Chile, Antofagasta","Bahrain, Bahrain"
"China, Wenzhou","Chile, Arica","Bangladesh, Chittagong"
"China, Wiehai","Chile, Coronel","Bangladesh, Mongla"
